name,code,professor,school,description,semester,day,time,term
Visual Recognition: Computational and Biophysical Perspective,NEURO 130,Kreiman,FAS,"Examines how neuronal circuits represent information and how those circuits are implemented in artificial intelligence algorithms. Topics: architecture of visual cortex, neurophysiology, visual consciousness, computational neuroscience, models of pattern recognition and computer vision.",2020 Fall,M,3:00pm - 5:45pm,Full Term
Independent Study,GHP 300 24,Saxena,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. The program provides an opportunity to consider the design of studies, programs, or analysis of data.",2020 Fall,,,Fall 2
Neuro-immunology of Pain and Host Defense,IMMUN 335,Chiu,FAS,,2021 Spring,,,Full Term
Advanced Topics in Immunology,IMMUN 300,Segal,FAS,"Reading and discussion seminars each running for a half term (7 weeks). Two seminars, which can be taken in different terms, are required for credit. Topics include the role of intracellular and transmembrane protein phosphates in signal transduction.",2021 Spring,,,Full Term
Independent Study,GHP 300 69,Wikler,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. The program provides an opportunity to consider the design of studies, programs, or analysis of data.",2020 Fall,,,Fall 2
Regeneration in Axolotls,GENETIC 307,Whited,FAS,,2021 Spring,,,Full Term
Research,EH 350 89,Allen,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work on the lines of fundamental or applied research in the department.,2020 Fall,,,Fall 2
Research,EH 350 1,Christiani,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work on the lines of fundamental or applied research in the department.,2021 Spring,,,Full Term
Japan in Asia and the World,HIST 1023,Gordon,FAS,"Japan is a collection of islands, but its past and present unfolds through continuous interaction with wider worlds. This course places Japan in contexts of Asian and global history. It begins with the people, institutions, and ideas of premodern Japan, from the emergence of a court-centered state 1500 years ago to a warrior-dominated society centuries later. We then examine the tumultuous process of change from the 19th century through the present and explore how people in Japan have dealt with",2021 Spring,M W,7:30pm - 8:45pm,Full Term
Reading or Special Topics Course,LING 301 003,Rau,FAS,"Reading or Special Topics courses by individual arrangement with a faculty member. These courses examine material and skills not covered in regular course offerings, normally tailored to graduate students' individual curricular needs. These courses may involve hands-on work with special collections, as well as laboratory and/or experimental work with the department's relevant facillities, including the Meaning & Modality Lab and the Phonetics Lab, as appropriate.",2021 Spring,,,Full Term
Research,EH 350 34,McNeely,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work on the lines of fundamental or applied research in the department.,2021 Spring,,,Full Term
Reading or Special Topics Course,LING 301 008,Charnavel,FAS,"Reading or Special Topics courses by individual arrangement with a faculty member. These courses examine material and skills not covered in regular course offerings, normally tailored to graduate students' individual curricular needs. These courses may involve hands-on work with special collections, as well as laboratory and/or experimental work with the department's relevant facillities, including the Meaning & Modality Lab and the Phonetics Lab, as appropriate.",2021 Spring,,,Full Term
Independent Study,GHP 300 140,Bump,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. The program provides an opportunity to consider the design of studies, programs, or analysis of data.",2020 Fall,,,Fall 2
Solids: Structure and Defects,APPHY 282,Spaepen,FAS,"Bonding, crystallography, diffraction, phase diagrams, microstructure, point defects, dislocations, and grain boundaries.",2020 Fall,,,Full Term
Spanish and Hispanic-American Literature: Supervised Reading and Research,SPANSH 320 001,Aguirre-Oteiza,FAS,,2020 Fall,,,Full Term
Law and Society through the Cinematic Frame,FRSEMR 40E,Liviatan,FAS,"In this seminar, we will explore the interaction of law and society using the lens of film. The cinematic experience has become a key site through which the public understanding of law is produced, debated, and influenced. Driven first and foremost by market and audience considerations, law-related films often inject drama, contentious dimensions, and even misrepresentations into the portrayal of real events. Nonetheless, by raising awareness about legal themes that pervade the plot, these films",2021 Spring,M,3:00pm - 5:00pm,Full Term
Independent Study,GHP 300 4,Balsari,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. The program provides an opportunity to consider the design of studies, programs, or analysis of data.",2021 Spring,,,Full Term
Research,EH 350 117,Bellinger,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work on the lines of fundamental or applied research in the department.,2021 Spring,,,Full Term
Spanish and Hispanic-American Literature: Supervised Reading and Research,SPANSH 320 004,GarcÃ­a PeÃ±a,FAS,,2021 Spring,,,Full Term
Independent Study,GHP 300 13,Bhabha,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. The program provides an opportunity to consider the design of studies, programs, or analysis of data.",2021 Spring,,,Full Term
Spanish and Hispanic-American Literature: Supervised Reading and Research,SPANSH 320 008,Sommer,FAS,,2021 Spring,,,Full Term
Research,EH 350 127,Allen,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work on the lines of fundamental or applied research in the department.,2021 Spring,,,Full Term
Research,EH 350 130,Mazumdar,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work on the lines of fundamental or applied research in the department.,2021 Spring,,,Full Term
Independent Study,GHP 300 31,Cash,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. The program provides an opportunity to consider the design of studies, programs, or analysis of data.",2021 Spring,,,Full Term
Natural Language Understanding and Generation,COMPSCI 382,Rush,FAS,,2021 Spring,,,Full Term
Mechanics of Earth and Environmental Processes,E-PSCI 363,Rice,FAS,,2020 Fall,,,Dynamically Dated
Research,EH 350 17,Gold,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work on the lines of fundamental or applied research in the department.,2021 Spring,,,Spring 1
"Mammalian Gap Junctions, Inhibitory Neuronal Networks, and Corticothalamic Processing",NEUROBIO 385,Landisman,FAS,,2021 Spring,,,Full Term
"Structured Representations, Computing and Inference for Stochastic Systems",ENG-SCI 318,Ba,FAS,,2020 Fall,,,Full Term
Independent Study,GHP 300 52,Kayden,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. The program provides an opportunity to consider the design of studies, programs, or analysis of data.",2021 Spring,,,Full Term
Dissertation work in optogenetics,SHBT 313,Brown,FAS,,2021 Spring,,,Full Term
Biophysics of Receptor-Ligand Interactions,BIOPHYS 363,Blacklow,FAS,,2021 Spring,,,Full Term
Independent Study,GHP 300 61,Langer,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. The program provides an opportunity to consider the design of studies, programs, or analysis of data.",2021 Spring,,,Full Term
Research,EH 350 65,Herrick,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work on the lines of fundamental or applied research in the department.,2021 Spring,,,Spring 1
Supervised Reading and Research,TDM 91R,TBA,FAS,"Theater, Dance & Media concentrators (and others with special permission) may arrange individually supervised reading and research courses; the permission of the Director of Studies is required for these courses.",2021 Spring,,,Full Term
Computational Genomics,GENETIC 344,Park,FAS,,2021 Spring,,,Full Term
Lymphoid Organs,IMMUN 331,Stein-Streilein,FAS,,2020 Fall,,,Full Term
Independent Study,GHP 300 88,Saxena,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. The program provides an opportunity to consider the design of studies, programs, or analysis of data.",2021 Spring,,,Full Term
Research Topics in Operating Systems,COMPSCI 261,Kohler,FAS,An introduction to operating systems research. Paper-based seminar course that introduces students to the state of the art in systems research through historical and quantitative lenses. Students will read and discuss research papers and complete a final research project.,2021 Spring,,,Full Term
Elementary Modern Chinese,CHNSE BB 003,Yu,FAS,"This is a continuation (second semester) of the Elementary Modern Chinese. It is designed for students who have completed the first semester of Elementary Modern Chinese I (Chinese Ba)Â or the equivalent.Â The course will furtherÂ developÂ studentsâ€™communicative skills in the listening and speaking modalities,Â and at the same time shift theÂ focus of instruction gradually towardsÂ reading and writing. It provides more practice on syntactic structures, usage and",2021 Spring,T Th,10:30am - 11:30am,Full Term
Independent Study,GHP 300 109,Yip,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. The program provides an opportunity to consider the design of studies, programs, or analysis of data.",2021 Spring,,,Full Term
Introduction to Materials Science and Engineering,ENG-SCI 190 001,Li,FAS,"Introduction to the structure, properties, and applications of materials. Crystal structure and defects. Structure property relations and crystal symmetry. Phase transformations, phase diagrams, diffusion. Effect of microstructure on properties. Examples from a variety of engineering applications of electrical, optical and magnetic materials.",2020 Fall,M W,9:00am - 10:15am,Full Term
Independent Study,GHP 300 5,Balsari,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. The program provides an opportunity to consider the design of studies, programs, or analysis of data.",2021 Spring,,,Spring 1
Research,EH 350 12,Evans,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work on the lines of fundamental or applied research in the department.,2021 Spring,,,Spring 2
Research,EH 350 15,Godleski,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work on the lines of fundamental or applied research in the department.,2021 Spring,,,Spring 2
Research,EH 350 18,Gold,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work on the lines of fundamental or applied research in the department.,2021 Spring,,,Spring 2
Global Response to Disasters and Refugee Crises,GHHP 70,Kayden,FAS,"Climate change, urbanization, and conflict mean that global disasters are on the rise.Â How should the world respond when disasters force people from their homes?Â How can we better help the worldâ€™s refugees?Â This course examines the past, present, and future of the international humanitarian response system.Â We will explore how Doctors Without Borders, the United Nations, the Red Cross, and other aid agencies came to be and how global response standards, internationa",2021 Spring,Th,12:45pm - 2:45pm,Full Term
Research,EH 350 24,Korrick,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work on the lines of fundamental or applied research in the department.,2021 Spring,,,Spring 2
Independent Study,GHP 300 53,Kayden,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. The program provides an opportunity to consider the design of studies, programs, or analysis of data.",2021 Spring,,,Spring 1
T-Lymphocyte Recognition,IMMUN 336,Brenner,FAS,,2021 Spring,,,Full Term
"Mechanisms of Heart Growth, Regeneration, and Failure",HBTM 307,Rosenzweig,FAS,,2021 Spring,,,Full Term
Independent Study,GHP 300 83,Reich,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. The program provides an opportunity to consider the design of studies, programs, or analysis of data.",2021 Spring,,,Spring 1
Hypothalamic Gene Function and Regulation,HBTM 315,Majzoub,FAS,,2021 Spring,,,Full Term
Independent Study,GHP 300 89,Saxena,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. The program provides an opportunity to consider the design of studies, programs, or analysis of data.",2021 Spring,,,Spring 1
Research,EH 350 42,Rudnick,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work on the lines of fundamental or applied research in the department.,2021 Spring,,,Spring 2
Independent Study,GHP 300 98,Verguet,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. The program provides an opportunity to consider the design of studies, programs, or analysis of data.",2021 Spring,,,Spring 1
"The Ethical and Religious Thought of Martin Luther King, Jr.",RELIGION 1472,Williams,FAS,"A study of the life, thought, and actions of Martin Luther King, Jr. An ethical analysis of his primary concepts, ideas, and strategies based upon a reading and discussion of his writings and their sources.",2021 Spring,M,3:00pm - 5:00pm,Full Term
Topics in Elementary Particle Research and String Theory,PHYSICS 379A,Strominger,FAS,,2020 Fall,,,Full Term
Research,EH 350 63,Wright,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work on the lines of fundamental or applied research in the department.,2021 Spring,,,Spring 2
Independent Study,GHP 300 6,Balsari,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. The program provides an opportunity to consider the design of studies, programs, or analysis of data.",2021 Spring,,,Spring 2
Reading and Research,AFVS 310,Rentschler,FAS,,2021 Spring,,,Dynamically Dated
The Role of Cysteinyl Leukotrienes and their Receptors in Pulmonary Inflammation and Fibrosis,IMMUN 332,Kanaoka,FAS,,2021 Spring,,,Full Term
Research,EH 350 106,Kobzik,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work on the lines of fundamental or applied research in the department.,2021 Spring,,,Spring 2
"Resources, Incentives, and Choices II: Analysis of Public Policy",API 102 I,Furman,HKS,"This course builds on API-101 to develop microeconomic and macroeconomic tools of analysis for policy problems through various policy applications. The course is broadly focused on evaluating the rationale for government intervention in the economy and evaluating the efficiency, incentive, and distributional effects of government policies.",2021 Spring,,,Full Term
Independent Study,GHP 300 21,Bossert,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. The program provides an opportunity to consider the design of studies, programs, or analysis of data.",2021 Spring,,,Spring 2
Research,EH 350,Lu,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work on the lines of fundamental or applied research in the department.,2021 Spring,,,January
Foundations of Biological Diversity,OEB 10 002,Farrell,FAS,"An integrated approach to the diversity of life, emphasizing how chemical, physical, genetic, ecological and geologic processes contribute to the origin and maintenance of biological diversity. Topics to be covered include the evolution of metabolic pathways, multicellularity and structural complexity; causes and consequences of differences in diversity over space and time; the role of species interactions (including symbioses) as an evolutionary force; and the evolution of humans and their impa",2020 Fall,T Th,4:30pm - 5:30pm,Full Term
History and Theory of Social Anthropology: Proseminar II,ANTHRO 2650B,Meiu,FAS,"The second semester of the graduate proseminar explores the political economy of anthropological knowledge production. It examines anthropologyâ€™s relation to alterity and sociality in different historical contexts, in the colony and in the metropole, in the socialist East and the capitalist West, at the center and at the periphery. Anthropology has long been seen as a quintessentially â€œWestern discourseâ€ problematically aligned with the ideologies of power. Rather than approach",2021 Spring,T,9:00am - 11:45am,Full Term
Non-Resident Research,EH 400 2,Dockery,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work on the lines of fundamental or applied research in the department.,2020 Fall,,,Fall 1
Independent Study,GHP 300 48,Greenough,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. The program provides an opportunity to consider the design of studies, programs, or analysis of data.",2021 Spring,,,Spring 2
Economics of Climate Change and Environmental Policy,API 135,Stavins,HKS,"Provides a survey, from the perspective of economics, of global climate change and public policies to address it, including international, regional, national, and sub-national policies.Â The political economy and politics of alternative policies are also covered.Â Methodological topics that are broadly relevant for other resource and environmental issues are featured.",2021 Spring,,,Full Term
Independent Study,GHP 300 72,McConnell,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. The program provides an opportunity to consider the design of studies, programs, or analysis of data.",2021 Spring,,,Spring 2
Non-Resident Research,EH 400 2,Dockery,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work on the lines of fundamental or applied research in the department.,2021 Spring,,,Spring 1
Non-Resident Research,EH 400 16,Baccarelli,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work on the lines of fundamental or applied research in the department.,2021 Spring,,,Spring 2
Graduate Research,CHEMBIO 350 031,Wagers,FAS,Upper level Chemical Biology students register for this course when they permanently join a lab. Students should register under the supervising PI.,2020 Fall,,,Dynamically Dated
Independent Study,GHP 300 90,Saxena,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. The program provides an opportunity to consider the design of studies, programs, or analysis of data.",2021 Spring,,,Spring 2
Chemical Cell Biology,IMMUN 327,Schreiber,FAS,,2020 Fall,,,Full Term
Principles of Toxicology,EH 504 2,Park,HSPH,"The course is designed to expose students to the principles and methods that should be used to determine whether a causal relationship exists between specific doses of an agent and an alleged adverse effect, observed primarily in humans. Integration of principles and methods of toxicology is extremely important since the primary purpose of toxicology is to predict human toxicity. Toxicological data obtained in animal studies must be placed in proper relationship to the exposure observed in the h",2020 Fall,M W,9:45am - 11:15am,Full Term
Graduate Research,CHEMBIO 350 001,Kahne,FAS,Upper level Chemical Biology students register for this course when they permanently join a lab. Students should register under the supervising PI.,2021 Spring,,,Dynamically Dated
Graduate Research,CHEMBIO 350 002,Balskus,FAS,Upper level Chemical Biology students register for this course when they permanently join a lab. Students should register under the supervising PI.,2021 Spring,,,Dynamically Dated
The Business-Government Relationship in the United States,BGP 100,Porter,HKS,This survey course is designed to help students think analytically about the ways in which government and business interact with one another in a mixed economy. It examines: (1) how business and government are organized and how they seek to influence one another; (2) how government policies affect the competitive positions of individual firms and industries and how firms and industries compete to influence such policies; (3) the ways in which government policies affect economic growth and the wa,2021 Spring,,,Full Term
Cognitive-Behavioral Treatment of Psychological Disorders,PSY 2420,Shingleton,FAS,"Covers current cognitive-behavioral approaches to the treatment of common psychological disorders in adults. Emphasis is on the practical aspects of treatment, and on treatment outcome research. Includes theoretical underpinnings of cognitive-behavioral therapy.",2020 Fall,M,3:00pm - 5:00pm,Full Term
Molecular Genetics of Neuroscience,OEB 369,Zhang,FAS,,2020 Fall,,,Full Term
"Immune Cell Signaling, Gene Transcription and Tissue Injury in Lupus",IMMUN 342,Tsokos,FAS,,2021 Spring,,,Full Term
HKS-HBS Joint Degree First-Year Seminar (spring),BGP 510Y,Cole,HKS,"This required seminar introduces degree candidates in the first two years of the joint programs (both MPP-MBA and MPA/ID-MBA) to key policy and management issues at the interface of the business and government sectors. It complements their learning in the required curricula of HBS and HKS, aids them in selecting appropriate elective courses, and provides context for choosing and pursuing employment in the summers following the first and second years of the joint program. It also promotes the dev",2021 Spring,,,Full Term
"Topics in Theoretical Atomic, Molecular, and Condensed Matter Physics",PHYSICS 315B,Heller,FAS,,2021 Spring,,,Full Term
Research,GHP 350 24,Danaei,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work along the lines of fundamental or applied research in the department.,2020 Fall,,,Full Term
Graduate Research,CHEMBIO 350 024,Cole,FAS,Upper level Chemical Biology students register for this course when they permanently join a lab. Students should register under the supervising PI.,2021 Spring,,,Dynamically Dated
Research,GHP 350 27,Kruk,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work along the lines of fundamental or applied research in the department.,2020 Fall,,,Full Term
Research,GHP 350 32,Salomon,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work along the lines of fundamental or applied research in the department.,2020 Fall,,,Full Term
Research,GHP 350 33,Saxena,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work along the lines of fundamental or applied research in the department.,2020 Fall,,,Full Term
Graduate Research,CHEMBIO 350 032,Walt,FAS,Upper level Chemical Biology students register for this course when they permanently join a lab. Students should register under the supervising PI.,2021 Spring,,,Dynamically Dated
Direction of Doctoral Dissertation,AMSTDIES 399 002,Bernstein,FAS,,2020 Fall,,,Full Term
"Seminar: Democracy, Politics, and Institutions (spring)",DPI 150Y A,Patterson,HKS,"There are five PAC seminars, each bearing the same ""150Y"" designation along with the relevant policy-area prefix: BGP, DEV,Â DPI, IGA, and SUP. While the seminars differ in the subject-area concentrations of their students, they share key characteristics: All are explicitly geared to supporting students as they produce their Policy Analysis Exercises, all meet in both the Fall and Spring terms (though usually not every week), and all are open only to MPP2 students.",2021 Spring,,,Full Term
"Seminar: Democracy, Politics, and Institutions (spring)",DPI 150Y B,Patterson,HKS,"There are five PAC seminars, each bearing the same ""150Y"" designation along with the relevant policy-area prefix: BGP, DEV,Â DPI, IGA, and SUP. While the seminars differ in the subject-area concentrations of their students, they share key characteristics: All are explicitly geared to supporting students as they produce their Policy Analysis Exercises, all meet in both the Fall and Spring terms (though usually not every week), and all are open only to MPP2 students.",2021 Spring,,,Full Term
Independent Study,EPI 300 257,Tiemeier,HSPH,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses.,2021 Spring,,,Spring 1
Research,HPM 350 3,Bates,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work along the lines of fundamental or applied research in the department.,2020 Fall,,,Fall 2
Reading and Research,WOMGEN 3000 004,Bronski,FAS,,2020 Fall,,,Full Term
Independent Study,EPI 300 21,Cook,HSPH,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses.,2021 Spring,,,Spring 2
Measuring and Analyzing the Outcomes of Health Care,HPM 530,Testa,HSPH,"This course emphasizes introductory concepts, methods, and practical procedures for measuring and analyzing patients' health status, quality of life, satisfaction and cost-effectiveness for health outcomes research. The course reviews the fundamentals of health outcomes research methods necessary for:1. Demonstrating improvement in patient outcomes2. Controlling costs and allocating resources3. Implementing disease management programs and4. Making effective public health, health technology a",2020 Summer,M T W Th F,2:00pm - 3:30pm,Summer 1
Independent Study,EPI 300 30,Fawzi,HSPH,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses.,2021 Spring,,,Spring 2
Reading and Research,WOMGEN 3000 005,Reid-Pharr,FAS,,2021 Spring,,,Full Term
Responsible Conduct of Research,HPM 548,Wolf Christiani,HSPH,"This course meets the NIH training requirement for all trainees, fellows, participants, and scholars receiving support through any NIH training, career development award, research education grant, or dissertation research grant. It describes basic ethical and regulatory requirements for conducting research. Topics include ethical issues in biomedical and public health research; regulations and guidelines governing research involving human as well as live vertebrate animal subjects; financial and",2020 Fall,F,8:00am - 9:30am,Fall 1
Physics of Macromolecular Assemblies and Subcellular Organization,BIOPHYS 325,Needleman,FAS,,2021 Spring,,,Full Term
Conformational Changes in Macromolecules,BIOPHYS 324,Stultz,FAS,,2020 Fall,,,Full Term
Core Principles of Biostatistics and Epidemiology for Public Health Practice,ID 201,Gauvreau,HSPH,"This course will provide an introduction to the methods of biostatistics and epidemiology in the context of public health and clinical research. The focus will be on applications, providing students with the skills necessary to critically interpret issues related to study design and data analysis in the public health literature. The computer is used throughout the course. Lectures are complemented by seminars and weekly lab sessions. Topics include measures of frequency and association, study de",2020 Fall,T Th F,8:00am - 9:30am,Full Term
Legal and Ethical Issues in Child Advocacy,EDU H304,Zeller,HGSE,"This course provides an introductory overview of ethical and legal issues that affect counseling in the schools and child advocacy. Professionals navigating these roles with children and their families are often faced with ethical dilemmas that require a balancing of multiple factors. The course will focus on ethical and legal issues related to counseling with and advocating for children and adolescents in schools, as well as working with systems that impact youth and their families. Legal manda",2020 Fall,M,6:00pm - 8:00pm,Full Term
Laboratory Research for Honors Thesis,SCRB 99A,Holmes,FAS,For honors candidates writing a thesis in Human Developmental and Regenerative Biology.,2021 Spring,,,Full Term
"The Challenges Kids Face: Developmental, Cultural, & Contextual Perspectives on Risk & Resilience",EDU H382,Lem,HGSE,"This course reviews some of the major psychosocial difficulties facing school-aged children. Using current and classic psychological literature, the class will explore the struggles and the challenges that kids grapple with in dealing with a mental health issue and/or diagnosis. The class will be child/adolescent-focused in terms of continuing to infuse the discussion with the child's perspective. A multifaceted lens will be used to ground the child's experience in a complex way emphasiz",2020 Fall,Th,6:00pm - 8:00pm,Full Term
Independent Study,EPI 300 111,Willett,HSPH,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses.,2021 Spring,,,Spring 2
Topics in Algebraic Number Theory,MATH 352,Kisin,FAS,,2021 Spring,,,Full Term
Practice & Culminating Experience for Clinical Effectiveness (Summer Only),EPI 947W,Baer,HSPH,"Summer-Only CLE Master of Public Health Program students develop an off-site practicum at their home institution under the supervision of a local mentor and a member of faculty at HSPH. This practicum may include aspects of epidemiology, biostatics, decision sciences, or other quantitative aspects of public health. Students should apply the competencies learned in core courses to an actual investigation. Following the first summer course work, students must submit a written proposal for the prac",2021 Spring,,,January
Why is There No Cure for Health?,GENED 1079,Cutler,FAS,"Around the world, billions of dollars are spent on health care treatments, public health initiatives, and pharmaceutical research and development. So why are we still not able to prevent preventable diseases, provide affordable healthcare for millions of people, and deliver cures for curable diseases? And what are the best ways to address these issues?Â Because these questions are so large, we will focus our discussion around questions like: What steps should be taken to address epidemics? H",2020 Fall,M W,12:00pm - 1:15pm,Full Term
Independent Study,EPI 300 144,Hu,HSPH,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses.,2021 Spring,,,Spring 2
Independent Study,EPI 300 159,Hacker,HSPH,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses.,2021 Spring,,,Spring 2
Independent Study,EPI 300 162,Hernan,HSPH,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses.,2021 Spring,,,Spring 2
Research,IID 350,Marti,HSPH,For doctoral candidates who have passed their school-wide Oral Qualifying Examination and who are undertaking advanced work along the lines of fundamental or applied research in the department. Inquiries about specific research opportunities should be addressed to the chair of the department.,2021 Spring,,,Full Term
Independent Study,EPI 300 168,Redline,HSPH,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses.,2021 Spring,,,Spring 2
Philosophy of Education,EDU S105,Elgin,HGSE,"What is education? What are its goals? Why is education of value? Are these questions that can be settled once and for all, or do their answers depend on historical and cultural factors? In an effort to answer these questions, we will study works of philosophers such as Plato, Rousseau, Wollstonecraft, Du Bois, Washington, and Dewey. Two papers are required.No prerequisites; no previous work in philosophy is required. Open to any student who wants to think seriously about the fundamental nature",2020 Fall,M W,Split Schedule,Full Term
